4.56385,11.8789,2.37183,0.0031751,18.8227
4.69113,5.52696,1.16785,12.0777,23.4811
4.88869,3.98559,0.672892,15.9394,25.4914
4.9547,2.89819,0.455056,17.5915,25.9012
4.97963,2.61563,0.336392,14.0182,21.9515
4.97115,2.01779,0.271073,16.2192,23.4797
5.26349,2.31723,0.220179,14.2105,22.0119
6.22173,1.59807,0.181105,16.3732,24.3746
6.00254,1.78062,0.158969,14.1157,22.0583
5.14806,1.63318,0.134472,19.5238,26.44
4.88793,1.47954,0.117258,20.2654,26.7506
5.0879,1.06626,0.152221,16.5494,22.8562
5.00625,1.28875,0.138137,16.7221,23.1556
4.9257,0.973092,0.085541,19.8089,25.7937
4.93175,0.943275,0.0788065,18.5508,24.505
6.01064,0.8677,0.076882,18.6607,25.6163
5.07794,0.827488,0.0763914,17.803,23.7853
5.20934,0.960677,0.0654353,18.9175,25.1534
6.31799,1.84543,0.0979028,17.0019,25.2636
5.59018,1.81332,0.0676407,19.0471,26.5186
5.40193,1.49808,0.0667945,17.3025,24.2697
5.70589,1.28247,0.0665604,15.8595,22.9149
5.35349,1.30351,0.058571,16.3849,23.1009
5.54695,1.69754,0.0548805,18.5884,25.8882
5.27982,1.37163,0.0576028,17.9909,24.7003
5.42987,1.45524,0.0561343,19.4216,26.3632
5.22513,1.86989,0.0572145,19.5494,26.7021
5.45922,2.28145,0.0481362,21.0241,28.8133
5.41567,1.65052,0.0550366,18.156,25.2776
5.2465,1.95385,0.0486313,18.6607,25.9101
